,person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
11878,24,95000,RENT,8.0,DEBTCONSOLIDATION,A,10000,,0,0.11,N,2
16799,25,70000,RENT,8.0,VENTURE,D,15000,14.42,0,0.21,Y,2
29611,43,46000,RENT,5.0,VENTURE,B,3000,11.71,0,0.07,N,17
14728,24,113000,MORTGAGE,5.0,EDUCATION,B,17950,11.99,0,0.16,N,4
1943,23,30000,OWN,,VENTURE,A,7000,7.49,0,0.23,N,3
23231,29,60000,MORTGAGE,8.0,PERSONAL,B,8000,10.51,0,0.13,N,8
14993,26,91800,MORTGAGE,10.0,MEDICAL,E,10000,16.32,1,0.09,Y,4
10353,23,67000,MORTGAGE,2.0,DEBTCONSOLIDATION,A,5600,7.49,0,0.08,N,2
19140,33,34000,RENT,5.0,VENTURE,B,2400,11.99,0,0.07,N,9
28593,30,180000,MORTGAGE,0.0,EDUCATION,A,6000,6.62,0,0.03,N,8
3384,24,49278,RENT,4.0,VENTURE,C,11000,13.22,0,0.22,N,2
1832,23,95000,RENT,6.0,EDUCATION,B,15000,9.88,0,0.16,N,4
27720,32,175000,MORTGAGE,17.0,HOMEIMPROVEMENT,B,24000,,0,0.14,N,7
26678,34,110000,MORTGAGE,2.0,MEDICAL,A,10000,7.29,0,0.09,N,10
1665,22,28500,MORTGAGE,1.0,DEBTCONSOLIDATION,A,8500,7.68,0,0.3,N,4
17534,22,64000,RENT,5.0,DEBTCONSOLIDATION,A,6600,8.9,0,0.1,N,4
27405,35,139000,MORTGAGE,12.0,DEBTCONSOLIDATION,B,35000,12.69,0,0.25,N,6
21269,27,46028,MORTGAGE,8.0,DEBTCONSOLIDATION,B,18000,10.74,0,0.39,N,9
8582,24,53000,MORTGAGE,6.0,MEDICAL,D,5000,15.62,1,0.09,N,4
3712,23,20000,RENT,6.0,PERSONAL,C,4000,12.23,0,0.2,Y,2
11230,26,66000,MORTGAGE,9.0,DEBTCONSOLIDATION,D,15000,14.42,1,0.23,N,2
14135,25,100000,MORTGAGE,9.0,EDUCATION,B,8000,10.25,0,0.08,N,3
9061,21,60000,MORTGAGE,2.0,VENTURE,B,6000,10.62,0,0.1,N,4
30159,38,34000,RENT,4.0,MEDICAL,B,5750,,0,0.17,N,16
18492,31,155000,RENT,3.0,HOMEIMPROVEMENT,B,20000,10.74,0,0.13,N,6
3250,25,77000,RENT,2.0,DEBTCONSOLIDATION,A,3500,7.9,0,0.05,N,4
12424,24,42500,RENT,9.0,PERSONAL,B,12000,11.36,0,0.28,N,2
10909,22,39000,RENT,3.0,EDUCATION,D,10000,,1,0.26,Y,3
1865,23,121000,RENT,7.0,MEDICAL,B,15000,,0,0.12,N,2
23788,27,37595,RENT,6.0,DEBTCONSOLIDATION,A,9600,7.14,0,0.26,N,8
9975,24,55000,RENT,2.0,HOMEIMPROVEMENT,C,9000,14.72,0,0.16,Y,2
19972,29,31400,RENT,3.0,MEDICAL,B,10400,10.71,1,0.33,N,7
10945,23,45756,RENT,8.0,MEDICAL,A,10000,7.29,0,0.22,N,2
19867,33,51000,RENT,0.0,VENTURE,A,11000,9.63,0,0.22,N,7
20743,29,32000,RENT,1.0,HOMEIMPROVEMENT,D,5000,,1,0.16,N,10
7224,25,95000,RENT,1.0,DEBTCONSOLIDATION,A,7000,6.99,0,0.07,N,2
14662,22,30000,RENT,2.0,DEBTCONSOLIDATION,C,15000,11.66,1,0.5,Y,3
12448,25,39000,OWN,2.0,HOMEIMPROVEMENT,D,4400,14.84,0,0.11,N,2
32008,36,48000,MORTGAGE,3.0,MEDICAL,C,1500,13.92,1,0.03,N,11
26539,28,105000,MORTGAGE,1.0,MEDICAL,B,25000,11.12,0,0.24,N,9
27974,33,60000,MORTGAGE,1.0,HOMEIMPROVEMENT,D,17000,16.07,0,0.28,N,9
1052,22,24000,MORTGAGE,6.0,MEDICAL,A,2500,7.14,0,0.1,N,2
5363,23,45000,OWN,,EDUCATION,C,15000,14.79,0,0.33,N,4
20756,34,39996,RENT,1.0,PERSONAL,A,5000,7.51,0,0.13,N,6
9802,25,33000,RENT,3.0,PERSONAL,A,9000,5.79,0,0.27,N,3
849,23,125000,RENT,7.0,VENTURE,B,20000,11.11,0,0.16,N,4
21664,27,50000,MORTGAGE,4.0,EDUCATION,B,2100,9.91,0,0.04,N,6
13772,23,85000,RENT,5.0,PERSONAL,A,13600,6.03,0,0.16,N,3
13245,22,30000,RENT,0.0,HOMEIMPROVEMENT,D,12250,13.67,1,0.41,Y,4
18566,30,24000,OWN,0.0,VENTURE,A,2500,7.29,0,0.1,N,6
29124,45,80000,RENT,10.0,MEDICAL,A,35000,,1,0.44,N,13
1562,23,31000,RENT,1.0,DEBTCONSOLIDATION,A,1500,8.94,0,0.05,N,3
28813,27,132000,RENT,6.0,DEBTCONSOLIDATION,C,20000,12.73,0,0.15,N,10
13980,23,99996,MORTGAGE,7.0,EDUCATION,A,20000,7.49,0,0.2,N,3
28775,31,24000,RENT,3.0,EDUCATION,A,6000,8.49,0,0.25,N,5
23700,28,62000,RENT,3.0,MEDICAL,B,9200,10.0,0,0.15,N,9
16126,25,30720,RENT,6.0,MEDICAL,B,10000,10.37,1,0.33,N,3
1718,26,45000,RENT,5.0,MEDICAL,D,1800,14.11,0,0.04,Y,2
26068,27,95004,MORTGAGE,1.0,PERSONAL,A,15000,7.51,0,0.16,N,9
32556,55,50000,RENT,2.0,DEBTCONSOLIDATION,A,20000,7.51,1,0.4,N,28
